PiS,KO,Lewica,PSL-Kukiz15,Konfederacja,niez.
1.0,1.0,1.0,0.9629629629629629,-0.6,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9921875,1.0,1.0,1.0,1.0
0.991304347826087,1.0,1.0,1.0,0.2222222222222222,1.0
-1.0,0.984251968503937,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-0.987012987012987,-1.0,-1.0,-1.0,-0.9090909090909091,-1.0
-0.9956709956709957,-0.983739837398374,-0.9555555555555556,-1.0,-1.0,-1.0
1.0,-0.9846153846153847,-1.0,-0.9310344827586207,-1.0,-1.0
-1.0,-0.984375,-1.0,-1.0,-1.0,-1.0
-0.9868421052631579,-0.9689922480620154,-1.0,-1.0,-1.0,-1.0
-0.9694323144104804,-0.9844961240310077,-1.0,-1.0,-1.0,-1.0
-0.9823008849557522,-1.0,-1.0,-1.0,-1.0,-1.0
0.982532751091703,-0.9921259842519685,-1.0,-1.0,-1.0,-1.0
-0.9741379310344828,-1.0,-0.9787234042553191,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.9264069264069265,-1.0,-1.0,-1.0,-1.0,-1.0
0.9913793103448276,-1.0,-1.0,-1.0,0.0,-1.0
-0.9741379310344828,-1.0,-1.0,-1.0,-1.0,-1.0
0.9475982532751092,-1.0,-1.0,-1.0,0.0,-1.0
-0.9913793103448276,-1.0,-1.0,-1.0,0.0,-1.0
1.0,-0.992,-1.0,-1.0,0.0,-1.0
0.991304347826087,-1.0,1.0,-1.0,-0.9,-1.0
0.9310344827586207,-1.0,-1.0,-1.0,0.9,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.9741379310344828,-1.0,-1.0,-1.0,-1.0,-1.0
0.9913419913419913,-1.0,-1.0,-1.0,-1.0,-1.0
0.9913793103448276,-1.0,-1.0,-1.0,-1.0,-1.0
-0.974025974025974,-1.0,-1.0,-1.0,0.0,-1.0
-1.0,-1.0,1.0,-1.0,-1.0,-1.0
-0.9913419913419913,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.8201754385964912,-1.0,-1.0,-1.0,-0.8181818181818182,-1.0
-0.9396551724137931,-1.0,-1.0,-1.0,-1.0,-1.0
0.991304347826087,-0.984,-0.9523809523809523,-1.0,0.1,-1.0
0.9742489270386266,-1.0,-1.0,-1.0,0.18181818181818182,-1.0
-0.9911894273127754,-1.0,-1.0,-1.0,-1.0,-1.0
0.8427947598253275,-1.0,-1.0,-1.0,0.2727272727272727,-1.0
0.974025974025974,-1.0,0.9574468085106383,-1.0,-1.0,-1.0
-0.9070796460176991,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9912663755458515,-1.0,-1.0,-1.0,0.0,-1.0
-0.9826086956521739,-1.0,-1.0,-1.0,0.0,-1.0
0.956140350877193,-1.0,-1.0,-1.0,-0.8181818181818182,-0.5
-0.9823008849557522,-1.0,-1.0,-1.0,0.0,-1.0
-0.9913419913419913,-1.0,-1.0,-1.0,-0.8181818181818182,-1.0
-0.9912663755458515,-1.0,-1.0,-1.0,-0.9090909090909091,-1.0
0.9653679653679653,-1.0,-1.0,-1.0,-1.0,-1.0
